experiment_id,account_id,experiment_name,variant,exposed_at
abb31823-feb4-4ce8-890d-49c7a558924d,b3de382c-ce1e-4047-a220-cc669e0b0115,guided_setup_flow,guided,2026-01-06 07:04:25.603592
e8511883-6b1e-4104-9a55-90f5b8cd4b10,dafa73de-22a2-4a4c-ad57-04c649894fcd,guided_setup_flow,control,2026-01-05 07:04:25.603614
f382da14-b56e-4b9f-8e41-12e3d50858a9,ccfe81b8-7632-4e3b-aa54-9178d22233c2,guided_setup_flow,guided,2025-12-30 07:04:25.603636
87830565-74f8-4168-a155-4561f52b8636,ccfe81b8-7632-4e3b-aa54-9178d22233c2,gamified_activation,gamified,2026-01-03 07:04:25.603636
896374ef-3886-4767-b5ef-de675ef59d6e,84c14f12-febb-47ca-8597-e320f1205ddb,guided_setup_flow,guided,2025-12-30 07:04:25.603678
7047e2f8-6ffe-431b-91e3-f4b2c934a99f,9e3160b3-43cb-43e2-98fb-69e259241124,guided_setup_flow,guided,2026-01-05 07:04:25.603698
ea1ea00d-fdac-460c-ba05-ec69b93f791e,5e09556a-7716-4a3c-8f84-af299d9b22d8,guided_setup_flow,control,2025-12-31 07:04:25.603724
3d8ce291-b702-4844-a3af-32515e22b465,5e09556a-7716-4a3c-8f84-af299d9b22d8,gamified_activation,gamified,2026-01-06 07:04:25.603724
5d5e534d-60fd-4a62-9750-7e54ebd65902,1b956eb1-ffee-4985-a168-ab8479ae073f,gamified_activation,gamified,2025-12-30 07:04:25.603744
b16f1448-8733-405a-b591-42c9d4bc5eb6,766a393e-ed7d-49a5-9125-d0372c525326,guided_setup_flow,guided,2026-01-03 07:04:25.603763
232b496e-ac9a-40e8-9faf-dc9331b95514,766a393e-ed7d-49a5-9125-d0372c525326,gamified_activation,control,2026-01-05 07:04:25.603763
e4823121-951f-4dae-9cb0-792eb62541e0,45803854-4d43-4f70-a343-5637c5985398,guided_setup_flow,control,2026-01-03 07:04:25.603803
3459f09a-32d5-44df-842a-ded129e2eb19,9c7f342a-306a-422c-8ee5-e9bad2a17d45,guided_setup_flow,guided,2026-01-06 07:04:25.603823
f24fdb98-dbe5-447e-8d8f-6c57cc8c7ec1,9c7f342a-306a-422c-8ee5-e9bad2a17d45,gamified_activation,gamified,2026-01-05 07:04:25.603823
2a673da4-bc4a-4d20-aff3-2fb7b4b4172a,4c0e3076-d2a0-42a9-8f09-ac71d152d8f3,guided_setup_flow,control,2026-01-02 07:04:25.603843
f1fcd6e0-d89e-44c6-a9da-6a5888457bed,4c0e3076-d2a0-42a9-8f09-ac71d152d8f3,gamified_activation,gamified,2026-01-03 07:04:25.603843
92d83d9e-6958-46e6-b0bc-af76efe6c8af,ae0f427b-9795-473a-b582-94235c228da8,guided_setup_flow,control,2026-01-03 07:04:25.603862
0f0a415c-a9b3-4eac-bfeb-3ae73e5baeb5,ae0f427b-9795-473a-b582-94235c228da8,gamified_activation,gamified,2026-01-06 07:04:25.603862
ec3d04b7-bebc-43e2-9825-54c97fd93417,73990426-bcee-4b05-8153-fc44041116ff,guided_setup_flow,guided,2026-01-05 07:04:25.603881
cae353c4-10f9-488f-b3da-03401121f837,73990426-bcee-4b05-8153-fc44041116ff,gamified_activation,gamified,2026-01-04 07:04:25.603881
eababbad-264c-444b-a842-e0122bec0f4f,886ca1ba-8b0e-4685-8c41-30378f65a33e,guided_setup_flow,guided,2026-01-04 07:04:25.603901
d13d8e55-ff1c-46ff-a2a3-97314845da2d,f6bc2b6f-c936-4cc6-b508-9d962e64eb8e,gamified_activation,control,2025-12-30 07:04:25.603979
5fc51850-19ea-45f9-ac20-533bc4c25dd7,02fd378e-0dad-4018-b4f9-a1fbaaf01c37,guided_setup_flow,guided,2025-12-30 07:04:25.604019
b3226540-a9d8-4817-91c8-4c10ee691745,02fd378e-0dad-4018-b4f9-a1fbaaf01c37,gamified_activation,gamified,2026-01-05 07:04:25.604019
77f8d477-9b32-48d4-bd10-d5ce6fe4ba4d,9658bdd7-28fe-4dcd-ba24-50f5f2abfa35,gamified_activation,control,2026-01-06 07:04:25.604058
0dd2254c-705f-49a8-af15-3b4014fe98a5,82b79a7b-0e86-45be-8f7a-f5ee8e531416,guided_setup_flow,guided,2025-12-30 07:04:25.604078
37dc9260-e77a-4462-ad08-bfe1a774645b,82b79a7b-0e86-45be-8f7a-f5ee8e531416,gamified_activation,control,2025-12-30 07:04:25.604078
50307683-e4de-4d5f-ac36-ff69eeaeb4c5,fcf4f35b-aaf4-415e-81db-b576389ea7ca,guided_setup_flow,control,2025-12-30 07:04:25.604098
c1e3ca8a-6d30-44b8-9c85-8976e8326b17,fcf4f35b-aaf4-415e-81db-b576389ea7ca,gamified_activation,control,2026-01-06 07:04:25.604098
